Name,Type,Address,Town,State,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AdultChange,ChangingPlaces,BabyChange,BabyCareRoom,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
Lucas Central Park,Park or reserve,Eleanor Drive,Lucas,VIC,,-37.54601685,143.7778166,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
Library at the Dock,Community building,107 Victoria Harbour Promenade,Docklands,VIC,,-37.8200529,144.9405111,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Mon-Thu 10am-6pm, Sun 12pm-4pm, Sat 10am-1pm, Fri 1pm-6pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
City Library,Community building,253 Flinders Lane,Melbourne,VIC,,-37.81694,144.965841,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Currently closed,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,FALSE
Carlton Baths,Other,248 Rathdowne Street,Carlton,VIC,,-37.7934373,144.9712588,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Mon-Fri 6am-10pm, Sat-Sun 8am-8pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
North Melbourne Community Centre,Community building,49-53 Buncle Street,North Melbourne,VIC,,-37.7931546,144.9403248,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Mon-Fri 6am-9pm, Sat-Sun 8am-5pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Kathleen Symes Library,Community building,251 Faraday Street,Carlton,VIC,,-37.798717,144.9653568,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Mon-Thu 10am-6pm, Fri 1pm-6pm, Sat 10am-1pm, Sun 12am-4pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Galbally Reserve,Park or reserve,19 Arthur Street,Hughesdale,VIC,,-37.8960149,145.079071,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: 5:30am-8:30pm,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE
Woolworths Chelsea,Shopping centre,31-33 Bath Street,Chelsea,VIC,,-38.0540667,145.1156136,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 7am-10pm,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Wirrng Wirrng (Queenscliffe Hub),Community building,53 Hesse Street,Queenscliff,VIC,,-38.26776194,144.6613849,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: 9am-5pm,Closed Christmas Day.,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
Mernda Adventure Park,Park or reserve,Greig Drive,Mernda,VIC,,-37.59234003,145.0999825,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Ornamental Lakes Park,Park or reserve,,Mildura,VIC,,-34.18517399,142.1688254,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE
Lake Tyrrell,Park or reserve,1 Baileys Road,Ninda,VIC,,-35.44529179,142.8295474,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
Mildura Airport - Arrivals/Outside,Airport,Alan Mathews Drive,Mildura,VIC,Located outside the terminal near Arrivals,-34.2308684,142.0850567,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Variable hours,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE
Mildura Sporting Precinct,Sporting facility,684 Deakin Avenue,Mildura,VIC,,-34.2182732,142.1233326,TRUE,TRUE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Sat-Sun 11am-4pm, Mon-Fri 8am-5pm",,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
