Coordinates,Dog_bowl,Bottle_refill_tap,Latitude,Longitude
"-37.8213916576197, 144.94536775680646",FALSE,FALSE,-37.82139166,144.9453678
"-37.803371100927336, 144.96636401763817",FALSE,TRUE,-37.8033711,144.966364
"-37.813892178607055, 144.9641120868484",FALSE,FALSE,-37.81389218,144.9641121
"-37.82034342836768, 144.94031908099987",FALSE,FALSE,-37.82034343,144.9403191
"-37.78098685657206, 144.962456506622",FALSE,FALSE,-37.78098686,144.9624565
"-37.82120300569749, 144.9464400812558",FALSE,TRUE,-37.82120301,144.9464401
"-37.8386331437282, 144.97805941362765",TRUE,FALSE,-37.83863314,144.9780594
"-37.79775185327968, 144.96744736482998",FALSE,FALSE,-37.79775185,144.9674474
"-37.81553989313365, 144.95836642425357",FALSE,TRUE,-37.81553989,144.9583664
"-37.80566602896913, 144.94256675118035",TRUE,FALSE,-37.80566603,144.9425668
"-37.80262121799853, 144.96563804631617",FALSE,FALSE,-37.80262122,144.965638
"-37.81378184056998, 144.94225864282328",FALSE,FALSE,-37.81378184,144.9422586
"-37.80980631970157, 144.97383443627947",FALSE,FALSE,-37.80980632,144.9738344
"-37.802215372127485, 144.96301319081624",FALSE,TRUE,-37.80221537,144.9630132
"-37.779553322018664, 144.93984653851456",FALSE,FALSE,-37.77955332,144.9398465
"-37.832243003760865, 144.97302849826244",FALSE,FALSE,-37.832243,144.9730285
"-37.81276680167682, 144.9815543655956",FALSE,TRUE,-37.8127668,144.9815544
"-37.78205389103602, 144.95697021635434",FALSE,FALSE,-37.78205389,144.9569702
